Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1982,1,Richmond,22,18,,4,2682,2125,126.2,72,False
1982,2,Hawthorn,22,17,,5,2828,2149,131.6,68,False
1982,3,Carlton,22,16,1,5,2561,2008,127.5,66,True
1982,4,Essendon,22,16,,6,2576,2057,125.2,64,False
1982,5,North Melbourne,22,14,,8,2693,2458,109.6,56,False
1982,6,Fitzroy,22,12,1,9,2614,2550,102.5,50,False
1982,7,Sydney,22,12,,10,2621,2537,103.3,48,False
1982,8,Melbourne,22,8,,14,2488,2752,90.4,32,False
1982,9,Geelong,22,7,,15,2073,2293,90.4,28,False
1982,10,Collingwood,22,4,,18,2201,2575,85.5,16,False
1982,11,St Kilda,22,4,,18,2188,3052,71.7,16,False
1982,12,Footscray,22,3,,19,2066,3035,68.1,12,False
