Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2011,1,Collingwood,22,20,,2,2592,1546,167.7,80,False
2011,2,Geelong,22,19,,3,2548,1619,157.4,76,True
2011,3,Hawthorn,22,18,,4,2355,1634,144.1,72,False
2011,4,West Coast,22,17,,5,2235,1715,130.3,68,False
2011,5,Carlton,22,14,1,7,2225,1700,130.9,58,False
2011,6,St Kilda,22,12,1,9,1891,1677,112.8,50,False
2011,7,Sydney,22,12,1,9,1897,1735,109.3,50,False
2011,8,Essendon,22,11,1,10,2217,2217,100.0,46,False
2011,9,North Melbourne,22,10,,12,2106,2082,101.2,40,False
2011,10,Western Bulldogs,22,9,,13,2060,2155,95.6,36,False
2011,11,Fremantle,22,9,,13,1791,2155,83.1,36,False
2011,12,Richmond,22,8,1,13,2069,2396,86.4,34,False
2011,13,Melbourne,22,8,1,13,1974,2315,85.3,34,False
2011,14,Adelaide,22,7,,15,1742,2193,79.4,28,False
2011,15,Brisbane Lions,22,4,,18,1814,2240,81.0,16,False
2011,16,Port Adelaide,22,3,,19,1718,2663,64.5,12,False
2011,17,Gold Coast,22,3,,19,1534,2726,56.3,12,False
