Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1975,1,Hawthorn,22,17,,5,2383,1735,137.3,68,False
1975,2,Carlton,22,16,,6,2360,1827,129.2,64,False
1975,3,North Melbourne,22,14,,8,2096,1821,115.1,56,True
1975,4,Richmond,22,13,,9,2269,1999,113.5,52,False
1975,5,Collingwood,22,13,,9,1983,2112,93.9,52,False
1975,6,St Kilda,22,11,,11,1982,1954,101.4,44,False
1975,7,Footscray,22,11,,11,1968,2076,94.8,44,False
1975,8,Essendon,22,10,,12,2222,2451,90.7,40,False
1975,9,Fitzroy,22,9,,13,2079,2142,97.1,36,False
1975,10,Melbourne,22,9,,13,2092,2234,93.6,36,False
1975,11,Geelong,22,7,,15,1735,2218,78.2,28,False
1975,12,South Melbourne,22,2,,20,1798,2398,75.0,8,False
