Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1979,1,Carlton,22,19,,3,2772,1986,139.6,76,True
1979,2,North Melbourne,22,17,,5,2574,2083,123.6,68,False
1979,3,Collingwood,22,15,,7,2501,1974,126.7,60,False
1979,4,Fitzroy,22,15,,7,2699,2198,122.8,60,False
1979,5,Essendon,22,12,1,9,2236,2127,105.1,50,False
1979,6,Geelong,22,12,,10,2149,2140,100.4,48,False
1979,7,Hawthorn,22,10,,12,2332,2336,99.8,40,False
1979,8,Richmond,22,9,,13,2451,2512,97.6,36,False
1979,9,Footscray,22,7,1,14,2015,2463,81.8,30,False
1979,10,South Melbourne,22,6,,16,2424,2666,90.9,24,False
1979,11,Melbourne,22,6,,16,2093,2759,75.9,24,False
1979,12,St Kilda,22,3,,19,1857,2859,65.0,12,False
