Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2005,1,Adelaide,22,17,,5,2070,1517,136.5,68,False
2005,2,West Coast,22,17,,5,2261,1824,124.0,68,False
2005,3,Sydney,22,15,,7,1974,1696,116.4,60,True
2005,4,St Kilda,22,14,,8,2407,1806,133.3,56,False
2005,5,Kangaroos,22,13,,9,2053,2069,99.2,52,False
2005,6,Geelong,22,12,,10,2134,1906,112.0,48,False
2005,7,Melbourne,22,12,,10,2171,2266,95.8,48,False
2005,8,Port Adelaide,22,11,1,10,2028,2066,98.2,46,False
2005,9,Western Bulldogs,22,11,,11,2385,2351,101.4,44,False
2005,10,Fremantle,22,11,,11,2041,2038,100.1,44,False
2005,11,Brisbane Lions,22,10,,12,2139,2164,98.8,40,False
2005,12,Richmond,22,10,,12,2022,2190,92.3,40,False
2005,13,Essendon,22,8,,14,2118,2302,92.0,32,False
2005,14,Hawthorn,22,5,,17,1904,2317,82.2,20,False
2005,15,Collingwood,22,5,,17,1884,2425,77.7,20,False
2005,16,Carlton,22,4,1,17,2016,2670,75.5,18,False
