Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2006,1,West Coast,22,17,,5,2257,1874,120.4,68,True
2006,2,Adelaide,22,16,,6,2331,1640,142.1,64,False
2006,3,Fremantle,22,15,,7,2079,1893,109.8,60,False
2006,4,Sydney,22,14,,8,2098,1630,128.7,56,False
2006,5,Collingwood,22,14,,8,2345,1965,119.3,56,False
2006,6,St Kilda,22,14,,8,2074,1752,118.4,56,False
2006,7,Melbourne,22,13,1,8,2146,1957,109.7,54,False
2006,8,Western Bulldogs,22,13,,9,2311,2173,106.4,52,False
2006,9,Richmond,22,11,,11,1934,2245,86.1,44,False
2006,10,Geelong,22,10,1,11,1982,2002,99.0,42,False
2006,11,Hawthorn,22,9,,13,1834,2140,85.7,36,False
2006,12,Port Adelaide,22,8,,14,1911,2151,88.8,32,False
2006,13,Brisbane Lions,22,7,,15,1844,2239,82.4,28,False
2006,14,Kangaroos,22,7,,15,1754,2167,80.9,28,False
2006,15,Essendon,22,3,1,18,2021,2469,81.9,14,False
2006,16,Carlton,22,3,1,18,1791,2415,74.2,14,False
