Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2012,1,Hawthorn,22,17,,5,2679,1733,154.6,68,False
2012,2,Adelaide,22,17,,5,2428,1833,132.5,68,False
2012,3,Sydney,22,16,,6,2290,1629,140.6,64,True
2012,4,Collingwood,22,16,,6,2123,1823,116.5,64,False
2012,5,West Coast,22,15,,7,2244,1807,124.2,60,False
2012,6,Geelong,22,15,,7,2209,1886,117.1,60,False
2012,7,Fremantle,22,14,,8,1956,1691,115.7,56,False
2012,8,North Melbourne,22,14,,8,2359,2097,112.5,56,False
2012,9,St Kilda,22,12,,10,2347,1903,123.3,48,False
2012,10,Carlton,22,11,,11,2079,1925,108.0,44,False
2012,11,Essendon,22,11,,11,2091,2090,100.0,44,False
2012,12,Richmond,22,10,1,11,2169,1943,111.6,42,False
2012,13,Brisbane Lions,22,10,,12,1904,2092,91.0,40,False
2012,14,Port Adelaide,22,5,1,16,1691,2144,78.9,22,False
2012,15,Western Bulldogs,22,5,,17,1542,2301,67.0,20,False
2012,16,Melbourne,22,4,,18,1580,2341,67.5,16,False
2012,17,Gold Coast,22,3,,19,1509,2481,60.8,12,False
2012,18,Greater Western Sydney,22,2,,20,1270,2751,46.2,8,True
