Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2000,1,Essendon,22,21,,1,2816,1770,159.1,84,True
2000,2,Carlton,22,16,,6,2667,1979,134.8,64,False
2000,3,Melbourne,22,14,,8,2557,2159,118.4,56,False
2000,4,Kangaroos,22,14,,8,2447,2304,106.2,56,False
2000,5,Geelong,22,12,1,9,2234,2306,96.9,50,False
2000,6,Brisbane Lions,22,12,,10,2602,2222,117.1,48,False
2000,7,Western Bulldogs,22,12,,10,2321,2241,103.6,48,False
2000,8,Hawthorn,22,12,,10,2198,2251,97.6,48,False
2000,9,Richmond,22,11,,11,2068,2221,93.1,44,False
2000,10,Sydney,22,10,,12,2254,2219,101.6,40,False
2000,11,Adelaide,22,9,,13,2255,2347,96.1,36,False
2000,12,Fremantle,22,8,,14,1886,2618,72.0,32,False
2000,13,West Coast,22,7,1,14,2216,2399,92.4,30,False
2000,14,Port Adelaide,22,7,1,14,1928,2295,84.0,30,False
2000,15,Collingwood,22,7,,15,2089,2431,85.9,28,False
2000,16,St Kilda,22,2,1,19,1855,2631,70.5,10,False
