Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2016,1,Sydney,22,17,,5,2221,1469,151.2,68,False
2016,2,Geelong,22,17,,5,2235,1554,143.8,68,False
2016,3,Hawthorn,22,17,,5,2134,1800,118.6,68,False
2016,4,Greater Western Sydney,22,16,,6,2380,1663,143.1,64,False
2016,5,Adelaide,22,16,,6,2483,1795,138.3,64,False
2016,6,West Coast,22,16,,6,2181,1678,130.0,64,False
2016,7,Western Bulldogs,22,15,,7,1857,1609,115.4,60,True
2016,8,North Melbourne,22,12,,10,1956,1859,105.2,48,False
2016,9,St Kilda,22,12,,10,1953,2041,95.7,48,False
2016,10,Port Adelaide,22,10,,12,2055,1939,106.0,40,False
2016,11,Melbourne,22,10,,12,1944,1991,97.6,40,False
2016,12,Collingwood,22,9,,13,1910,1998,95.6,36,False
2016,13,Richmond,22,8,,14,1713,2155,79.5,32,False
2016,14,Carlton,22,7,,15,1568,1978,79.3,28,False
2016,15,Gold Coast,22,6,,16,1778,2273,78.2,24,False
2016,16,Fremantle,22,4,,18,1574,2119,74.3,16,False
2016,17,Brisbane Lions,22,3,,19,1770,2872,61.6,12,False
2016,18,Essendon,22,3,,19,1437,2356,61.0,12,False
