Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2021,1,Melbourne,22,17,1,4,1888,1443,130.8,70,True
2021,2,Port Adelaide,22,17,,5,1884,1492,126.3,68,False
2021,3,Geelong,22,16,,6,1845,1456,126.7,64,False
2021,4,Brisbane Lions,22,15,,7,2131,1599,133.3,60,False
2021,5,Western Bulldogs,22,15,,7,1994,1501,132.8,60,False
2021,6,Sydney,22,15,,7,1986,1656,119.9,60,False
2021,7,Greater Western Sydney,22,11,1,10,1768,1773,99.7,46,False
2021,8,Essendon,22,11,,11,1953,1790,109.1,44,False
2021,9,West Coast,22,10,,12,1752,1880,93.2,40,False
2021,10,St Kilda,22,10,,12,1644,1796,91.5,40,False
2021,11,Fremantle,22,10,,12,1578,1825,86.5,40,False
2021,12,Richmond,22,9,1,12,1743,1780,97.9,38,False
2021,13,Carlton,22,8,,14,1746,1972,88.5,32,False
2021,14,Hawthorn,22,7,2,13,1629,1912,85.2,32,False
2021,15,Adelaide,22,7,,15,1616,1971,82.0,28,False
2021,16,Gold Coast,22,7,,15,1430,1863,76.8,28,False
2021,17,Collingwood,22,6,,16,1557,1818,85.6,24,False
2021,18,North Melbourne,22,4,1,17,1458,2075,70.3,18,True
