Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2015,1,Fremantle,22,17,,5,1857,1564,118.7,68,False
2015,2,West Coast,22,16,1,5,2330,1572,148.2,66,False
2015,3,Hawthorn,22,16,,6,2452,1548,158.4,64,True
2015,4,Sydney,22,16,,6,2006,1578,127.1,64,False
2015,5,Richmond,22,15,,7,1930,1568,123.1,60,False
2015,6,Western Bulldogs,22,14,,8,2101,1825,115.1,56,False
2015,7,Adelaide,21,13,,8,2107,1821,115.7,54,False
2015,8,North Melbourne,22,13,,9,2062,1937,106.5,52,False
2015,9,Port Adelaide,22,12,,10,2002,1874,106.8,48,False
2015,10,Geelong,21,11,1,9,1853,1833,101.1,48,False
2015,11,Greater Western Sydney,22,11,,11,1872,1891,99.0,44,False
2015,12,Collingwood,22,10,,12,1972,1856,106.3,40,False
2015,13,Melbourne,22,7,,15,1573,2044,77.0,28,False
2015,14,St Kilda,22,6,1,15,1695,2162,78.4,26,False
2015,15,Essendon,22,6,,16,1580,2134,74.0,24,False
2015,16,Gold Coast,22,4,1,17,1633,2240,72.9,18,False
2015,17,Brisbane Lions,22,4,,18,1557,2306,67.5,16,False
2015,18,Carlton,22,4,,18,1525,2354,64.8,16,False
