Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2022,1,Geelong,22,18,,4,2146,1488,144.2,72,True
2022,2,Melbourne,22,16,,6,1936,1483,130.5,64,False
2022,3,Sydney,22,16,,6,2067,1616,127.9,64,False
2022,4,Collingwood,22,16,,6,1839,1763,104.3,64,False
2022,5,Fremantle,22,15,1,6,1739,1486,117.0,62,False
2022,6,Brisbane Lions,22,15,,7,2147,1799,119.3,60,False
2022,7,Richmond,22,13,1,8,2165,1780,121.6,54,False
2022,8,Western Bulldogs,22,12,,10,1973,1812,108.9,48,False
2022,9,Carlton,22,12,,10,1857,1714,108.3,48,False
2022,10,St Kilda,22,11,,11,1703,1715,99.3,44,False
2022,11,Port Adelaide,22,10,,12,1806,1638,110.3,40,False
2022,12,Gold Coast,22,10,,12,1871,1820,102.8,40,False
2022,13,Hawthorn,22,8,,14,1787,1991,89.8,32,False
2022,14,Adelaide,22,8,,14,1721,1986,86.7,32,False
2022,15,Essendon,22,7,,15,1737,2087,83.2,28,False
2022,16,Greater Western Sydney,22,6,,16,1631,1927,84.6,24,False
2022,17,West Coast,22,2,,20,1429,2389,59.8,8,False
2022,18,North Melbourne,22,2,,20,1337,2397,55.8,8,False
