Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1997,1,St Kilda,22,15,,7,2294,1918,119.6,60,False
1997,2,Geelong,22,15,,7,2111,1791,117.9,60,False
1997,3,Western Bulldogs,22,14,,8,2100,2062,101.8,56,False
1997,4,Adelaide,22,13,,9,2151,1769,121.6,52,True
1997,5,West Coast,22,13,,9,1969,1770,111.2,52,False
1997,6,Sydney,22,12,,10,2093,1801,116.2,48,False
1997,7,North Melbourne,22,12,,10,2051,1835,111.8,48,False
1997,8,Brisbane Lions,22,10,1,11,2076,1973,105.2,42,False
1997,9,Port Adelaide,22,10,1,11,1852,2017,91.8,42,True
1997,10,Collingwood,22,10,,12,2138,1919,111.4,40,False
1997,11,Carlton,22,10,,12,1978,2045,96.7,40,False
1997,12,Fremantle,22,10,,12,1748,1902,91.9,40,False
1997,13,Richmond,22,10,,12,1883,2253,83.6,40,False
1997,14,Essendon,22,9,,13,2004,2170,92.4,36,False
1997,15,Hawthorn,22,8,,14,1873,2144,87.4,32,False
1997,16,Melbourne,22,4,,18,1477,2429,60.8,16,False
