Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1966,1,Collingwood,18,15,,3,1687,1073,157.2,60,False
1966,2,St Kilda,18,14,,4,1641,1149,142.8,56,True
1966,3,Geelong,18,14,,4,1599,1162,137.6,56,False
1966,4,Essendon,18,14,,4,1457,1204,121.0,56,False
1966,5,Richmond,18,13,1,4,1626,1320,123.2,54,False
1966,6,Carlton,18,10,,8,1233,1143,107.9,40,False
1966,7,North Melbourne,18,7,1,10,1294,1381,93.7,30,False
1966,8,South Melbourne,18,7,,11,1486,1505,98.7,28,False
1966,9,Hawthorn,18,5,,13,1224,1650,74.2,20,False
1966,10,Footscray,18,4,,14,1004,1458,68.9,16,False
1966,11,Melbourne,18,3,,15,1235,1580,78.2,12,False
1966,12,Fitzroy,18,1,,17,1004,1865,53.8,4,False
