Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1983,1,North Melbourne,22,16,,6,2789,2183,127.8,64,False
1983,2,Hawthorn,22,15,,7,2675,2078,128.7,60,True
1983,3,Fitzroy,22,15,,7,2608,2059,126.7,60,False
1983,4,Essendon,22,15,,7,2664,2215,120.3,60,False
1983,5,Carlton,22,13,,9,2360,2244,105.2,52,False
1983,6,Collingwood,22,12,,10,2315,2247,103.0,48,False
1983,7,Footscray,22,10,,12,2102,2428,86.6,40,False
1983,8,Melbourne,22,9,,13,2220,2557,86.8,36,False
1983,9,Geelong,22,8,,14,1932,2197,87.9,32,False
1983,10,Richmond,22,7,,15,2124,2392,88.8,28,False
1983,11,Sydney,22,7,,15,2068,2670,77.5,28,False
1983,12,St Kilda,22,5,,17,2150,2737,78.6,20,False
