Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1978,1,North Melbourne,22,16,,6,2407,1991,120.9,64,False
1978,2,Hawthorn,22,16,,6,2496,2120,117.7,64,True
1978,3,Collingwood,22,15,,7,2347,2072,113.3,60,False
1978,4,Carlton,22,14,,8,2329,1994,116.8,56,False
1978,5,Geelong,22,12,,10,2153,2104,102.3,48,False
1978,6,St Kilda,22,11,1,10,2330,2503,93.1,46,False
1978,7,Richmond,22,10,1,11,2459,2389,102.9,42,False
1978,8,South Melbourne,22,9,,13,2390,2383,100.3,36,False
1978,9,Fitzroy,22,8,,14,2258,2339,96.5,32,False
1978,10,Essendon,22,8,,14,2203,2337,94.3,32,False
1978,11,Footscray,22,7,,15,2272,2508,90.6,28,False
1978,12,Melbourne,22,5,,17,2025,2929,69.1,20,False
