Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2024,1,Sydney,23,17,,6,2242,1769,126.7,68,False
2024,2,Port Adelaide,23,16,,7,2011,1752,114.8,64,False
2024,3,Geelong,23,15,,8,2164,1928,112.2,60,False
2024,4,Greater Western Sydney,23,15,,8,2034,1864,109.1,60,False
2024,5,Brisbane Lions,23,14,1,8,2130,1747,121.9,58,True
2024,6,Western Bulldogs,23,14,,9,2171,1736,125.1,56,False
2024,7,Hawthorn,23,14,,9,2090,1763,118.5,56,False
2024,8,Carlton,23,13,,10,2151,1952,110.2,52,False
2024,9,Collingwood,23,12,2,9,1991,1943,102.5,52,False
2024,10,Fremantle,23,12,1,10,1964,1755,111.9,50,False
2024,11,Essendon,23,11,1,11,1892,2024,93.5,46,False
2024,12,St Kilda,23,11,,12,1748,1758,99.4,44,False
2024,13,Gold Coast,23,11,,12,1925,1943,99.1,44,False
2024,14,Melbourne,23,11,,12,1785,1812,98.5,44,False
2024,15,Adelaide,23,8,1,14,1906,1923,99.1,34,False
2024,16,West Coast,23,5,,18,1594,2339,68.1,20,False
2024,17,North Melbourne,23,3,,20,1619,2550,63.5,12,False
2024,18,Richmond,23,2,,21,1505,2364,63.7,8,False
