Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2001,1,Essendon,22,17,,5,2548,1895,134.5,68,False
2001,2,Brisbane Lions,22,17,,5,2538,1989,127.6,68,True
2001,3,Port Adelaide,22,16,,6,2473,1918,128.9,64,False
2001,4,Richmond,22,15,,7,2126,1973,107.8,60,False
2001,5,Carlton,22,14,,8,2311,1797,128.6,56,False
2001,6,Hawthorn,22,13,,9,2149,2041,105.3,52,False
2001,7,Sydney,22,12,,10,2121,1833,115.7,48,False
2001,8,Adelaide,22,12,,10,2085,2026,102.9,48,False
2001,9,Collingwood,22,11,,11,2232,2088,106.9,44,False
2001,10,Western Bulldogs,22,10,,12,2305,2458,93.8,40,False
2001,11,Melbourne,22,10,,12,2136,2364,90.4,40,False
2001,12,Geelong,22,9,,13,1926,2054,93.8,36,False
2001,13,Kangaroos,22,9,,13,2161,2371,91.1,36,False
2001,14,West Coast,22,5,,17,1708,2590,65.9,20,False
2001,15,St Kilda,22,4,,18,1917,2642,72.6,16,False
2001,16,Fremantle,22,2,,20,1794,2491,72.0,8,False
