Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2003,1,Port Adelaide,22,18,,4,2229,1752,127.2,72,False
2003,2,Collingwood,22,15,,7,2259,1858,121.6,60,False
2003,3,Brisbane Lions,22,14,1,7,2295,1882,121.9,58,True
2003,4,Sydney,22,14,,8,2142,1862,115.0,56,False
2003,5,Fremantle,22,14,,8,2143,2078,103.1,56,False
2003,6,Adelaide,22,13,,9,2114,1754,120.5,52,False
2003,7,West Coast,22,12,2,8,2326,1982,117.4,52,False
2003,8,Essendon,22,13,,9,2190,1960,111.7,52,False
2003,9,Hawthorn,22,12,,10,2011,1999,100.6,48,False
2003,10,Kangaroos,22,11,1,10,2185,2223,98.3,46,False
2003,11,St Kilda,22,11,,11,2095,2187,95.8,44,False
2003,12,Geelong,22,7,1,14,1819,2025,89.8,30,False
2003,13,Richmond,22,7,,15,1846,2078,88.8,28,False
2003,14,Melbourne,22,5,,17,1899,2344,81.0,20,False
2003,15,Carlton,22,4,,18,1784,2674,66.7,16,False
2003,16,Western Bulldogs,22,3,1,18,2014,2693,74.8,14,False
