Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1980,1,Geelong,22,17,,5,2362,1888,125.1,68,False
1980,2,Carlton,22,17,,5,2576,2128,121.1,68,False
1980,3,Richmond,22,16,1,5,2754,1990,138.4,66,True
1980,4,North Melbourne,22,14,1,7,2345,1894,123.8,58,False
1980,5,Collingwood,22,14,1,7,2491,2178,114.4,58,False
1980,6,South Melbourne,22,13,,9,2211,2174,101.7,52,False
1980,7,Essendon,22,10,,12,2268,2151,105.4,40,False
1980,8,Hawthorn,22,10,,12,2249,2381,94.5,40,False
1980,9,Melbourne,22,5,,17,2140,2709,79.0,20,False
1980,10,Footscray,22,5,,17,2056,2737,75.1,20,False
1980,11,St Kilda,22,4,2,16,1872,2704,69.2,20,False
1980,12,Fitzroy,22,4,1,17,2398,2788,86.0,18,False
