Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1989,1,Hawthorn,22,19,,3,2678,1748,153.2,76,True
1989,2,Essendon,22,17,,5,2240,1705,131.4,68,False
1989,3,Geelong,22,16,,6,2916,1987,146.8,64,False
1989,4,Melbourne,22,14,,8,1876,1944,96.5,56,False
1989,5,Collingwood,22,13,,9,2216,1964,112.8,52,False
1989,6,Fitzroy,22,12,,10,2069,2125,97.4,48,False
1989,7,Sydney,22,11,,11,1959,1958,100.1,44,False
1989,8,Carlton,22,9,1,12,1921,2079,92.4,38,False
1989,9,North Melbourne,22,9,,13,2061,2301,89.6,36,False
1989,10,Brisbane Bears,22,8,,14,1792,2274,78.8,32,False
1989,11,West Coast,22,7,,15,1948,2247,86.7,28,False
1989,12,St Kilda,22,7,,15,2108,2502,84.3,28,False
1989,13,Footscray,22,6,1,15,1614,1855,87.0,26,False
1989,14,Richmond,22,5,,17,1725,2434,70.9,20,False
