Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2007,1,Geelong,22,18,,4,2542,1664,152.8,72,True
2007,2,Port Adelaide,22,15,,7,2314,2038,113.5,60,False
2007,3,West Coast,22,15,,7,2162,1935,111.7,60,False
2007,4,Kangaroos,22,14,,8,2183,1998,109.3,56,False
2007,5,Hawthorn,22,13,,9,2097,1855,113.0,52,False
2007,6,Collingwood,22,13,,9,2011,1992,101.0,52,False
2007,7,Sydney,22,12,1,9,2031,1698,119.6,50,False
2007,8,Adelaide,22,12,,10,1881,1712,109.9,48,False
2007,9,St Kilda,22,11,1,10,1874,1941,96.5,46,False
2007,10,Brisbane Lions,22,9,2,11,1986,1885,105.4,40,False
2007,11,Fremantle,22,10,,12,2254,2198,102.5,40,False
2007,12,Essendon,22,10,,12,2184,2394,91.2,40,False
2007,13,Western Bulldogs,22,9,1,12,2111,2469,85.5,38,False
2007,14,Melbourne,22,5,,17,1890,2418,78.2,20,False
2007,15,Carlton,22,4,,18,2167,2911,74.4,16,False
2007,16,Richmond,22,3,1,18,1958,2537,77.2,14,False
