Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1986,1,Hawthorn,22,18,,4,2698,1906,141.6,72,True
1986,2,Sydney,22,16,,6,2470,2087,118.4,64,False
1986,3,Carlton,22,15,,7,2566,1809,141.8,60,False
1986,4,Fitzroy,22,13,,9,2068,2063,100.2,52,False
1986,5,Essendon,22,12,,10,2379,1978,120.3,48,False
1986,6,Collingwood,22,12,,10,2261,2070,109.2,48,False
1986,7,North Melbourne,22,12,,10,2324,2356,98.6,48,False
1986,8,Footscray,22,11,,11,1963,2010,97.7,44,False
1986,9,Geelong,22,7,,15,2133,2599,82.1,28,False
1986,10,Richmond,22,7,,15,2151,2745,78.4,28,False
1986,11,Melbourne,22,7,,15,2003,2673,74.9,28,False
1986,12,St Kilda,22,2,,20,1846,2566,71.9,8,False
