Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2013,1,Hawthorn,22,19,,3,2523,1859,135.7,76,True
2013,2,Geelong,22,18,,4,2409,1776,135.6,72,False
2013,3,Fremantle,22,16,1,5,2035,1518,134.1,66,False
2013,4,Sydney,22,15,1,6,2244,1694,132.5,62,False
2013,5,Richmond,22,15,,7,2154,1754,122.8,60,False
2013,6,Collingwood,22,14,,8,2148,1868,115.0,56,False
2013,7,Port Adelaide,22,12,,10,2051,2002,102.4,48,False
2013,8,Carlton,22,11,,11,2125,1992,106.7,44,False
2013,9,Essendon,22,14,,8,2145,2000,107.3,56*,False
2013,10,North Melbourne,22,10,,12,2307,1930,119.5,40,False
2013,11,Adelaide,22,10,,12,2064,1909,108.1,40,False
2013,12,Brisbane Lions,22,10,,12,1922,2144,89.6,40,False
2013,13,West Coast,22,9,,13,2038,2139,95.3,36,False
2013,14,Gold Coast,22,8,,14,1918,2091,91.7,32,False
2013,15,Western Bulldogs,22,8,,14,1926,2262,85.1,32,False
2013,16,St Kilda,22,5,,17,1751,2120,82.6,20,False
2013,17,Melbourne,22,2,,20,1455,2691,54.1,8,False
2013,18,Greater Western Sydney,22,1,,21,1524,2990,51.0,4,False
