Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2004,1,Port Adelaide,22,17,,5,2413,1823,132.4,68,True
2004,2,Brisbane Lions,22,16,,6,2447,1783,137.2,64,False
2004,3,St Kilda,22,16,,6,2443,1909,128.0,64,False
2004,4,Geelong,22,15,,7,2088,1741,119.9,60,False
2004,5,Melbourne,22,14,,8,2127,1900,111.9,56,False
2004,6,Sydney,22,13,,9,1938,1804,107.4,52,False
2004,7,West Coast,22,13,,9,2042,1968,103.8,52,False
2004,8,Essendon,22,12,,10,2282,2228,102.4,48,False
2004,9,Fremantle,22,11,,11,1882,1870,100.6,44,False
2004,10,Kangaroos,22,10,,12,2142,2135,100.3,40,False
2004,11,Carlton,22,10,,12,1825,2235,81.7,40,False
2004,12,Adelaide,22,8,,14,1950,2039,95.6,32,False
2004,13,Collingwood,22,8,,14,1899,2082,91.2,32,False
2004,14,Western Bulldogs,22,5,,17,1957,2459,79.6,20,False
2004,15,Hawthorn,22,4,,18,1668,2375,70.2,16,False
2004,16,Richmond,22,4,,18,1693,2445,69.2,16,False
