Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2014,1,Sydney,22,17,,5,2126,1488,142.9,68,False
2014,2,Hawthorn,22,17,,5,2458,1746,140.8,68,True
2014,3,Geelong,22,17,,5,2033,1787,113.8,68,False
2014,4,Fremantle,22,16,,6,2029,1556,130.4,64,False
2014,5,Port Adelaide,22,14,,8,2180,1678,129.9,56,False
2014,6,North Melbourne,22,14,,8,2026,1731,117.0,56,False
2014,7,Essendon,22,12,1,9,1828,1719,106.3,50,False
2014,8,Richmond,22,12,,10,1887,1784,105.8,48,False
2014,9,West Coast,22,11,,11,2045,1750,116.9,44,False
2014,10,Adelaide,22,11,,11,2175,1907,114.1,44,False
2014,11,Collingwood,22,11,,11,1766,1876,94.1,44,False
2014,12,Gold Coast,22,10,,12,1917,2045,93.7,40,False
2014,13,Carlton,22,7,1,14,1891,2107,89.7,30,False
2014,14,Western Bulldogs,22,7,,15,1784,2177,81.9,28,False
2014,15,Brisbane Lions,22,7,,15,1532,2212,69.3,28,False
2014,16,Greater Western Sydney,22,6,,16,1780,2320,76.7,24,False
2014,17,Melbourne,22,4,,18,1336,1954,68.4,16,False
2014,18,St Kilda,22,4,,18,1480,2436,60.8,16,False
