Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2002,1,Port Adelaide,22,18,,4,2360,1783,132.4,72,False
2002,2,Brisbane Lions,22,17,,5,2520,1843,136.7,68,True
2002,3,Adelaide,22,15,,7,2308,2007,115.0,60,False
2002,4,Collingwood,22,13,,9,2081,1897,109.7,52,False
2002,5,Essendon,22,12,1,9,1939,1847,105.0,50,False
2002,6,Melbourne,22,12,,10,2243,2245,99.9,48,False
2002,7,Kangaroos,22,12,,10,2241,2269,98.8,48,False
2002,8,West Coast,22,11,,11,2208,2254,98.0,44,False
2002,9,Geelong,22,11,,11,1933,2029,95.3,44,False
2002,10,Hawthorn,22,11,,11,1938,2107,92.0,44,False
2002,11,Sydney,22,9,1,12,2123,1976,107.4,38,False
2002,12,Western Bulldogs,22,9,1,12,2335,2246,104.0,38,False
2002,13,Fremantle,22,9,,13,1900,2151,88.3,36,False
2002,14,Richmond,22,7,,15,1801,2172,82.9,28,False
2002,15,St Kilda,22,5,1,16,1785,2271,78.6,22,False
2002,16,Carlton,22,3,,19,1682,2300,73.1,12,False
