Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2009,1,St Kilda,22,20,,2,2197,1411,155.7,80,False
2009,2,Geelong,22,18,,4,2312,1815,127.4,72,True
2009,3,Western Bulldogs,22,15,,7,2378,1940,122.6,60,False
2009,4,Collingwood,22,15,,7,2174,1778,122.3,60,False
2009,5,Adelaide,22,14,,8,2104,1789,117.6,56,False
2009,6,Brisbane Lions,22,13,1,8,2017,1890,106.7,54,False
2009,7,Carlton,22,13,,9,2270,2055,110.5,52,False
2009,8,Essendon,22,10,1,11,2080,2127,97.8,42,False
2009,9,Hawthorn,22,9,,13,1962,2120,92.5,36,False
2009,10,Port Adelaide,22,9,,13,1990,2244,88.7,36,False
2009,11,West Coast,22,8,,14,1893,2029,93.3,32,False
2009,12,Sydney,22,8,,14,1888,2027,93.1,32,False
2009,13,North Melbourne,22,7,1,14,1680,2015,83.4,30,False
2009,14,Fremantle,22,6,,16,1747,2259,77.3,24,False
2009,15,Richmond,22,5,1,16,1774,2388,74.3,22,False
2009,16,Melbourne,22,4,,18,1706,2285,74.7,16,False
