Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
1987,1,Carlton,22,18,,4,2599,1883,138.0,72,True
1987,2,Hawthorn,22,17,,5,2781,1891,147.1,68,False
1987,3,Sydney,22,15,,7,2846,2197,129.5,60,False
1987,4,North Melbourne,22,13,1,8,2402,2417,99.4,54,False
1987,5,Melbourne,22,12,,10,2189,2026,108.0,48,False
1987,6,Geelong,22,11,1,10,2355,2348,100.3,46,False
1987,7,Footscray,22,11,1,10,1959,2046,95.7,46,False
1987,8,West Coast,22,11,,11,2386,2438,97.9,44,False
1987,9,Essendon,22,9,1,12,2075,2318,89.5,38,False
1987,10,St Kilda,22,9,,13,2150,2369,90.8,36,False
1987,11,Fitzroy,22,8,,14,2328,2544,91.5,32,False
1987,12,Collingwood,22,7,,15,1853,2425,76.4,28,False
1987,13,Brisbane Bears,22,6,,16,2113,2666,79.3,24,False
1987,14,Richmond,22,5,,17,2199,2667,82.5,20,False
